user_id,session_date,page_views,session_duration_seconds,used_virtual_tryOn,purchased_in_session,region,acquisition_channel
1,2024-10-16,9,10,False,False,US,Influencer
1,2024-10-17,7,72,False,False,US,Influencer
2,2023-04-25,8,448,True,True,US,Social Media
2,2023-04-25,7,352,False,True,US,Social Media
2,2023-04-25,6,71,False,True,US,Social Media
2,2023-04-25,4,89,False,True,US,Social Media
2,2023-04-25,8,27,True,True,US,Social Media
2,2023-04-25,9,305,False,True,US,Social Media
3,2023-01-26,14,10,False,False,US,Email Marketing
3,2023-09-05,7,15,False,False,US,Email Marketing
3,2023-01-30,6,45,False,False,US,Email Marketing
3,2023-01-31,6,20,True,False,US,Email Marketing
4,2025-02-01,5,165,False,True,US,Influencer
4,2025-01-31,16,96,False,False,US,Influencer
4,2025-04-07,5,13,False,True,US,Influencer
4,2025-04-05,10,30,False,False,US,Influencer
4,2025-04-04,9,50,False,False,US,Influencer
4,2025-01-29,5,59,False,False,US,Influencer
5,2024-05-05,9,80,False,False,US,Social Media
5,2024-01-27,6,228,False,False,US,Social Media
6,2025-01-06,10,27,False,False,US,Google Search
6,2023-09-08,12,30,False,False,US,Google Search
6,2024-05-19,7,116,True,False,US,Google Search
6,2024-05-25,8,215,False,False,US,Google Search
7,2025-01-21,7,111,True,False,US,Social Media
7,2024-07-22,10,72,False,False,US,Social Media
8,2024-07-31,7,246,True,True,US,Google Search
8,2023-05-24,6,191,False,True,US,Google Search
8,2023-07-27,5,10,False,False,US,Google Search
8,2023-08-09,6,49,True,False,US,Google Search
8,2023-05-23,7,14,False,False,US,Google Search
8,2023-08-09,3,575,False,False,US,Google Search
8,2023-05-24,4,23,False,True,US,Google Search
8,2024-07-30,4,53,False,False,US,Google Search
8,2023-05-23,8,20,False,False,US,Google Search
8,2023-08-05,8,168,False,False,US,Google Search
8,2023-05-23,5,292,False,False,US,Google Search
8,2024-07-28,10,300,False,False,US,Google Search
8,2024-07-23,8,60,True,False,US,Google Search
8,2024-07-27,7,38,True,False,US,Google Search
8,2023-08-05,7,456,False,False,US,Google Search
8,2024-07-29,3,16,False,False,US,Google Search
8,2024-07-16,4,100,True,False,US,Google Search
8,2024-07-25,5,393,False,False,US,Google Search
8,2024-07-29,11,354,True,False,US,Google Search
8,2023-08-09,5,62,False,False,US,Google Search
9,2025-03-12,6,103,True,False,US,Direct
9,2025-01-24,7,55,False,True,US,Direct
9,2025-08-09,7,14,False,False,US,Direct
9,2025-01-24,7,68,False,True,US,Direct
9,2025-04-08,8,283,False,False,US,Direct
9,2025-08-05,7,292,False,False,US,Direct
9,2025-04-15,4,120,False,False,US,Direct
9,2025-03-13,7,10,False,False,US,Direct
10,2024-10-17,8,702,False,False,US,Social Media
10,2024-10-19,6,113,False,False,US,Social Media
10,2024-10-17,4,94,False,False,US,Social Media
10,2023-05-06,13,10,False,True,US,Social Media
11,2025-04-05,4,139,False,False,US,Social Media
11,2024-12-18,5,423,True,False,US,Social Media
12,2025-07-04,10,351,True,False,US,Google Search
12,2025-06-30,7,519,False,False,US,Google Search
12,2025-02-11,5,164,False,False,US,Google Search
12,2025-08-15,10,328,False,False,US,Google Search
12,2025-04-30,7,62,False,False,US,Google Search
12,2025-05-05,8,17,False,False,US,Google Search
12,2025-02-08,10,74,False,False,US,Google Search
12,2025-02-15,12,35,False,False,US,Google Search
13,2025-07-07,6,20,False,False,US,Google Search
13,2025-07-09,11,235,False,True,US,Google Search
13,2025-07-07,5,24,False,False,US,Google Search
14,2024-12-19,10,31,False,False,US,Google Search
15,2023-05-10,10,10,True,True,US,Social Media
15,2023-11-21,7,343,False,True,US,Social Media
15,2023-08-06,11,298,False,True,US,Social Media
15,2023-09-05,11,10,False,False,US,Social Media
15,2023-04-02,12,81,True,False,US,Social Media
15,2023-11-14,4,109,False,False,US,Social Media
15,2023-04-16,9,45,False,False,US,Social Media
15,2023-11-20,10,180,False,False,US,Social Media
15,2023-04-03,8,233,False,False,US,Social Media
15,2023-09-11,13,40,False,False,US,Social Media
15,2023-08-05,11,218,False,False,US,Social Media
15,2023-11-21,7,306,False,True,US,Social Media
15,2023-09-03,11,76,False,False,US,Social Media
15,2023-04-07,3,91,False,True,US,Social Media
15,2023-08-22,11,133,False,False,US,Social Media
16,2024-08-27,11,80,False,False,US,Social Media
16,2025-01-18,4,53,False,True,US,Social Media
16,2025-01-14,11,63,False,False,US,Social Media
16,2025-01-16,5,531,False,False,US,Social Media
16,2024-08-27,9,246,False,False,US,Social Media
16,2025-01-16,8,111,False,False,US,Social Media
17,2024-03-15,7,68,True,False,US,Social Media
17,2024-03-13,7,137,False,False,US,Social Media
17,2024-03-09,5,48,False,False,US,Social Media
17,2025-02-05,6,230,False,False,US,Social Media
17,2025-02-10,7,136,False,False,US,Social Media
17,2024-03-14,5,270,False,False,US,Social Media
