user_id,region,acquisition_channel,registration_date,age,currency
1,US,Influencer,2024-10-16,42,USD
2,US,Social Media,2023-04-25,53,USD
3,US,Email Marketing,2023-01-26,53,USD
4,US,Influencer,2025-01-29,44,USD
5,US,Social Media,2023-10-09,29,USD
6,US,Google Search,2023-09-08,29,USD
7,US,Social Media,2023-08-17,22,USD
8,US,Google Search,2023-05-23,38,USD
9,US,Direct,2025-01-24,35,USD
10,US,Social Media,2023-04-15,18,USD
11,US,Social Media,2024-11-23,27,USD
12,US,Google Search,2025-01-28,31,USD
13,US,Google Search,2025-07-02,44,USD
14,US,Google Search,2024-07-12,20,USD
15,US,Social Media,2023-03-31,43,USD
16,US,Social Media,2024-08-27,37,USD
17,US,Social Media,2024-03-08,18,USD
18,US,Google Search,2023-02-02,26,USD
19,US,Google Search,2023-01-31,38,USD
20,US,Influencer,2023-04-06,30,USD
21,US,Social Media,2023-08-12,47,USD
22,US,Social Media,2023-08-27,46,USD
23,US,Social Media,2024-06-01,38,USD
24,US,Social Media,2024-09-08,46,USD
25,US,Social Media,2023-01-28,44,USD
26,US,Google Search,2024-07-28,51,USD
27,US,Direct,2023-07-23,39,USD
28,US,Google Search,2025-01-03,53,USD
29,US,Google Search,2024-10-27,36,USD
30,US,Google Search,2024-12-19,31,USD
31,US,Social Media,2024-07-12,52,USD
32,US,Social Media,2024-03-05,28,USD
33,US,Social Media,2023-08-14,45,USD
34,US,Social Media,2024-04-04,38,USD
35,US,Google Search,2024-08-26,26,USD
36,US,Google Search,2023-10-12,31,USD
37,US,Email Marketing,2025-04-08,35,USD
38,US,Social Media,2025-06-09,32,USD
39,US,Social Media,2023-01-07,33,USD
40,US,Direct,2025-02-16,39,USD
41,US,Influencer,2025-04-05,18,USD
42,US,Social Media,2023-06-13,34,USD
43,US,Google Search,2024-12-15,32,USD
44,US,Google Search,2024-03-08,38,USD
45,UK,Social Media,2023-12-15,48,GBP
46,US,Direct,2023-10-12,44,USD
47,US,Direct,2023-06-09,42,USD
48,US,Email Marketing,2023-08-09,61,USD
49,US,Social Media,2025-02-20,36,USD
50,US,Social Media,2023-12-11,28,USD
51,US,Social Media,2023-04-15,22,USD
52,US,Google Search,2023-04-05,40,USD
53,US,Social Media,2024-01-25,25,USD
54,US,Email Marketing,2023-04-10,31,USD
55,US,Direct,2024-01-03,37,USD
56,US,Social Media,2025-05-17,50,USD
57,US,Email Marketing,2023-12-19,38,USD
58,US,Social Media,2024-09-10,44,USD
59,US,Email Marketing,2023-09-28,38,USD
60,US,Social Media,2025-04-06,39,USD
61,US,Email Marketing,2023-02-14,38,USD
62,US,Social Media,2025-01-17,26,USD
63,US,Direct,2024-04-15,20,USD
64,US,Social Media,2024-07-03,42,USD
65,US,Direct,2023-05-08,46,USD
66,US,Google Search,2025-08-02,39,USD
67,US,Google Search,2024-01-23,24,USD
68,France,Google Search,2023-03-22,25,EUR
69,US,Direct,2024-07-19,35,USD
70,US,Google Search,2023-10-28,52,USD
71,US,Direct,2025-04-29,22,USD
72,US,Influencer,2024-10-05,40,USD
73,US,Google Search,2024-09-25,40,USD
74,Australia,Email Marketing,2025-06-25,34,AUD
75,US,Google Search,2025-06-01,29,USD
76,US,Google Search,2024-01-06,45,USD
77,US,Direct,2024-08-14,24,USD
78,US,Influencer,2023-07-16,36,USD
79,US,Google Search,2024-12-22,39,USD
80,US,Direct,2023-03-13,41,USD
81,US,Social Media,2023-02-16,41,USD
82,US,Influencer,2024-11-08,41,USD
83,US,Google Search,2023-08-22,41,USD
84,US,Direct,2025-03-02,48,USD
85,US,Social Media,2023-10-24,25,USD
86,US,Social Media,2023-03-23,32,USD
87,US,Google Search,2025-05-25,43,USD
88,US,Social Media,2023-08-27,18,USD
89,US,Google Search,2025-06-06,35,USD
90,US,Social Media,2023-04-14,22,USD
91,US,Social Media,2024-01-25,35,USD
92,US,Direct,2023-10-12,27,USD
93,US,Influencer,2024-04-09,18,USD
94,US,Social Media,2024-10-12,37,USD
95,US,Social Media,2025-05-04,41,USD
96,US,Social Media,2024-01-09,45,USD
97,US,Social Media,2023-06-16,56,USD
98,US,Social Media,2024-01-15,39,USD
99,Australia,Direct,2023-12-30,60,AUD
100,US,Social Media,2023-08-03,47,USD
101,US,Direct,2024-11-17,40,USD
102,US,Social Media,2023-10-01,44,USD
103,US,Google Search,2024-12-19,31,USD
104,US,Direct,2025-08-17,20,USD
105,US,Social Media,2024-11-30,52,USD
106,US,Email Marketing,2024-10-25,18,USD
107,US,Social Media,2023-03-15,37,USD
108,US,Google Search,2024-09-15,27,USD
109,US,Google Search,2024-10-12,54,USD
110,US,Google Search,2023-06-25,20,USD
111,US,Google Search,2024-06-30,38,USD
112,US,Social Media,2025-01-16,27,USD
113,US,Social Media,2023-09-08,27,USD
114,US,Direct,2023-06-17,45,USD
115,US,Email Marketing,2024-04-18,44,USD
116,US,Social Media,2024-01-24,42,USD
117,US,Email Marketing,2023-10-04,34,USD
118,US,Direct,2025-08-05,36,USD
119,US,Influencer,2024-10-17,32,USD
120,US,Direct,2024-12-05,48,USD
121,US,Influencer,2024-07-24,50,USD
122,US,Email Marketing,2023-08-13,35,USD
123,US,Social Media,2024-12-02,38,USD
124,Australia,Google Search,2023-11-29,33,AUD
125,US,Google Search,2025-05-13,22,USD
126,US,Direct,2025-02-25,20,USD
127,US,Direct,2025-03-05,34,USD
128,US,Google Search,2023-02-27,24,USD
129,US,Email Marketing,2023-08-23,25,USD
130,US,Direct,2025-04-21,31,USD
131,US,Social Media,2023-02-02,37,USD
132,US,Email Marketing,2025-04-04,28,USD
133,US,Social Media,2023-11-20,18,USD
134,US,Influencer,2024-02-15,18,USD
135,UK,Direct,2023-10-02,26,GBP
136,US,Google Search,2023-03-09,32,USD
137,US,Influencer,2023-08-05,34,USD
138,US,Google Search,2025-07-24,22,USD
139,US,Social Media,2024-08-03,38,USD
140,US,Google Search,2025-06-16,25,USD
141,Australia,Google Search,2025-01-05,43,AUD
142,US,Influencer,2023-11-19,30,USD
143,US,Influencer,2023-08-06,37,USD
144,US,Google Search,2024-11-02,35,USD
145,France,Google Search,2024-05-26,52,EUR
146,US,Direct,2024-02-10,46,USD
147,US,Influencer,2025-06-24,61,USD
148,US,Social Media,2025-07-25,25,USD
149,US,Google Search,2024-10-20,25,USD
150,France,Influencer,2024-04-14,36,EUR
151,US,Google Search,2023-05-27,46,USD
152,US,Social Media,2023-09-29,28,USD
153,US,Email Marketing,2023-05-23,19,USD
154,US,Email Marketing,2023-09-10,56,USD
155,US,Social Media,2025-02-01,49,USD
156,UK,Social Media,2024-07-28,29,GBP
157,US,Google Search,2024-07-05,33,USD
158,US,Social Media,2023-09-27,49,USD
159,US,Email Marketing,2025-02-03,35,USD
160,US,Influencer,2024-08-21,35,USD
161,US,Social Media,2024-03-14,22,USD
162,Australia,Direct,2025-07-08,33,AUD
163,US,Direct,2024-08-20,18,USD
164,US,Direct,2024-02-13,50,USD
165,US,Direct,2024-01-06,49,USD
166,US,Google Search,2023-08-13,35,USD
167,US,Google Search,2023-05-22,42,USD
168,US,Social Media,2024-06-05,51,USD
169,US,Social Media,2024-05-20,47,USD
170,US,Google Search,2023-04-04,18,USD
171,US,Social Media,2025-02-12,53,USD
172,US,Direct,2023-02-18,35,USD
173,US,Influencer,2025-05-31,18,USD
174,US,Influencer,2023-04-23,34,USD
175,US,Social Media,2023-06-06,19,USD
176,US,Social Media,2024-10-04,43,USD
177,US,Social Media,2023-06-13,39,USD
178,US,Social Media,2025-03-22,23,USD
179,US,Google Search,2024-11-27,23,USD
180,US,Social Media,2024-03-08,41,USD
181,US,Social Media,2024-09-02,33,USD
182,US,Google Search,2023-03-07,22,USD
183,US,Direct,2024-01-30,26,USD
184,US,Influencer,2024-01-26,37,USD
185,US,Social Media,2024-09-02,42,USD
186,US,Social Media,2024-04-24,44,USD
187,US,Google Search,2024-06-25,18,USD
188,US,Direct,2023-09-15,51,USD
189,US,Social Media,2024-07-20,41,USD
190,US,Google Search,2025-05-31,38,USD
191,US,Google Search,2023-01-12,18,USD
192,US,Google Search,2024-11-27,37,USD
193,US,Social Media,2025-01-08,27,USD
194,US,Email Marketing,2023-04-28,22,USD
195,US,Direct,2024-11-29,34,USD
196,US,Google Search,2025-06-25,52,USD
197,US,Direct,2024-07-03,22,USD
198,US,Google Search,2025-02-07,32,USD
199,US,Google Search,2023-10-01,18,USD
200,US,Social Media,2025-02-26,41,USD
201,US,Social Media,2024-10-18,27,USD
202,US,Email Marketing,2023-12-15,24,USD
203,US,Google Search,2023-04-25,38,USD
204,US,Google Search,2023-10-28,34,USD
205,France,Email Marketing,2024-03-21,28,EUR
206,US,Direct,2023-06-11,44,USD
207,US,Google Search,2024-04-09,18,USD
208,US,Social Media,2023-01-04,41,USD
209,US,Google Search,2025-01-09,18,USD
210,US,Direct,2025-06-15,35,USD
211,US,Google Search,2025-01-06,34,USD
212,US,Social Media,2023-09-27,20,USD
213,US,Social Media,2024-05-27,47,USD
214,US,Direct,2025-02-19,28,USD
215,US,Google Search,2023-07-02,18,USD
216,US,Influencer,2024-06-03,25,USD
217,US,Influencer,2025-07-23,39,USD
218,US,Social Media,2023-04-19,27,USD
219,US,Direct,2025-06-10,49,USD
220,US,Direct,2024-10-02,38,USD
221,US,Social Media,2023-11-02,39,USD
222,US,Google Search,2025-05-11,29,USD
223,US,Email Marketing,2024-10-16,49,USD
224,US,Google Search,2024-06-03,30,USD
225,US,Social Media,2024-09-15,35,USD
226,US,Email Marketing,2023-07-23,55,USD
227,US,Google Search,2023-06-06,37,USD
228,US,Influencer,2024-01-18,44,USD
229,US,Social Media,2025-02-19,39,USD
230,US,Google Search,2023-06-15,30,USD
231,US,Direct,2024-07-06,29,USD
232,US,Direct,2025-03-08,24,USD
233,US,Google Search,2025-08-02,40,USD
234,US,Email Marketing,2024-06-27,39,USD
235,US,Email Marketing,2025-07-29,31,USD
